Texto,Emocion
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy feliz,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,2
muy mal,amor
me siento mal,tristeza
me siento mal,tristeza
tengo miedo de no aprobar el semestre,tristeza
me siento con miedo,tristeza
me siento mal,tristeza
tengo miedo,tristeza
mal,No se puede predecir
mal,tristeza
me siento mal,tristeza
siento miedo,tristeza
me siento feliz,tristeza
tengo mucha rabia,tristeza
amor,tristeza
miedo,tristeza
siento miedo,tristeza
tengo rabia,tristeza
siento susto,tristeza
me siento mal,['tristeza']
me da rabia,['tristeza']
siento miedo,['miedo']
me enfurece la vida,['tristeza']
me siento alegre,['tristeza']
